settlement_id,txn_id,settlement_batch,settled_at,gross_paise,fee_paise,tax_paise,net_paise
STL_0041,TXN_0041,STL_2026_08,2026-08-17T00:00:00Z,133749,2675,482,130592
STL_0042,TXN_0042,STL_2026_08,2026-08-15T00:00:00Z,9999,200,36,9763
STL_0043,TXN_0043,STL_2026_08,2026-08-16T00:00:00Z,123456,2469,444,120543
STL_0044,TXN_0044,STL_2026_08,2026-08-17T00:00:00Z,77777,1556,280,75941
STL_0045,TXN_0045,STL_2026_08,2026-08-15T00:00:00Z,999950,19999,3600,976351
STL_0046,TXN_0046,STL_2026_08,2026-08-16T00:00:00Z,375050,7501,1350,366199
STL_0047,TXN_0047,STL_2026_08,2026-08-17T00:00:00Z,123456,2469,444,120543
STL_0048,TXN_0048,STL_2026_08,2026-08-15T00:00:00Z,375050,7501,1350,366199
STL_0049,TXN_0049,STL_2026_08,2026-08-16T00:00:00Z,88888,1778,320,86790
STL_0050,TXN_0050,STL_2026_08,2026-08-17T00:00:00Z,154593,3092,557,150944
STL_0051,TXN_0051,STL_2026_08,2026-08-15T00:00:00Z,199999,4000,720,195279
STL_0052,TXN_0052,STL_2026_08,2026-08-16T00:00:00Z,123456,2469,444,120543
STL_0053,TXN_0053,STL_2026_08,2026-08-17T00:00:00Z,9999,200,36,9763
STL_0054,TXN_0054,STL_2026_08,2026-08-15T00:00:00Z,375050,7501,1350,366199
STL_0055,TXN_0055,STL_2026_08,2026-08-16T00:00:00Z,133749,2675,481,130593
STL_0056,TXN_0056,STL_2026_08,2026-08-17T00:00:00Z,133750,2675,481,130594
STL_0057,TXN_0057,STL_2026_08,2026-08-15T00:00:00Z,133749,2675,481,130593
STL_0058,TXN_0058,STL_2026_08,2026-08-16T00:00:00Z,100000,2000,18000,80000
STL_0059,TXN_0059,STL_2026_08,2026-08-17T00:00:00Z,100000,2000,18000,80000
STL_0060,TXN_0060,STL_2026_08,2026-08-15T00:00:00Z,50000,1000,180,48820
STL_0061,TXN_0061,STL_2026_08,2026-08-16T00:00:00Z,50000,1000,180,48820
STL_0062,TXN_0062,STL_2026_08,2026-08-17T00:00:00Z,50000,1000,,49000
